OBJECTNUMMER;CodeJ;_2021;_2020;_2019;_2018;_2017;_2016;_2015;_2014;_2013;_2012;_2011;_2010;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"1HDG17";19;19.8;24.7;26.4;28.1;28;26.1;26.2;27.4;30.6;28.3;30.3;"0";"0";0;0;
2;"ESW/G";0;27.8;34.6;38.7;40.5;41.2;0;0;0;0;0;0;"0";"0";0;0;
3;"AD14";25.4;25.1;29.7;34;39.1;0;0;0;0;0;0;0;"0";"0";0;0;
4;"AD7";27;28.2;33;39;42.9;0;0;0;0;0;0;0;"0";"0";0;0;
5;"ADM58";15.7;18.6;23.1;23.2;27;27;25.1;28;26;29.6;29.5;28.9;"0";"0";0;0;
6;"AFR212";21.3;22.3;29;32.5;34.3;34;0;0;0;0;0;0;"0";"0";0;0;
7;"AL29";17.4;18.7;23.1;22.6;24.3;25.5;22.6;25;25;27.6;28.3;28;"0";"0";0;0;
8;"ALP17";17.8;18.7;24.1;25.3;28.1;27;31.1;27.2;28.8;30.4;0;0;"0";"0";0;0;
9;"AMS13";25.5;24.8;33.5;34.8;37.4;0;0;0;0;0;0;0;"0";"0";0;0;
10;"AMS45";20.5;23.7;29.2;32.1;32.6;0;0;0;0;0;0;0;"0";"0";0;0;
11;"AMS46";22.1;23.5;31.9;34.8;34.7;35.9;34.5;35.8;0;0;39.5;39.8;"0";"0";0;0;
12;"AV9";15.6;17.3;23.2;26;27;27.2;26.8;26.1;26.3;0;0;34.4;"0";"0";0;0;
13;"AVW211";20.6;22.1;27.6;28.9;32.5;37.5;35.6;38.2;38.3;39.8;38.7;42.4;"0";"0";0;0;
14;"AVW390";25.1;30.2;38.2;40.2;50.4;49.6;46.8;47.5;47.1;50.7;50.6;50;"0";"0";0;0;
15;"AVW761";27.5;27.4;35.8;37.8;46.3;46.6;39.7;41.4;45;43.4;46.5;49.6;"0";"0";0;0;
16;"BAN8";0;17.8;21.9;23.3;25.4;25.9;24.9;26.6;26.4;29.3;28.2;29.8;"0";"0";0;0;
17;"BIJL738";25.9;28.3;33.8;35.6;37.9;39.2;35.8;37.4;37.6;40.7;41.9;42.3;"0";"0";0;0;
18;"BIN37";18.9;20;26.4;30.4;30.7;31.5;30.5;32.2;32.4;32.8;33.4;34.8;"0";"0";0;0;
19;"BLM93";18.9;20.5;26.7;30.8;31.1;30.2;29.2;31.8;31.1;33;32.4;33.8;"0";"0";0;0;
20;"BOR143";16.1;18.8;22.9;23.5;25.7;26.9;25.9;29;28.6;29.5;0;29;"0";"0";0;0;
21;"BOR79";21.4;24;29.2;31.4;34.5;37.4;34.2;36.8;35.3;37.4;37.4;38.9;"0";"0";0;0;
